万得代码,交易所代码,自然日,时间,委托编号,交易所委托号,委托类型,委托代码,委托价格,委托数量
688001.SH,688001,20220812,93010520,0,185672,D,S,374400,200
688001.SH,688001,20220812,93010550,0,229399,A,B,364200,500
688001.SH,688001,20220812,93010670,0,182965,D,S,374400,200
688001.SH,688001,20220812,93010770,0,230365,A,S,374300,200
688001.SH,688001,20220812,93010890,0,230760,A,S,374000,300
688001.SH,688001,20220812,93011390,0,180290,D,S,374300,200
688001.SH,688001,20220812,93011540,0,233935,A,S,374300,394
688001.SH,688001,20220812,93011600,0,234102,A,S,374500,200
688001.SH,688001,20220812,93011940,0,235334,A,S,374500,256
688001.SH,688001,20220812,93012270,0,236537,A,S,374400,255
688001.SH,688001,20220812,93012370,0,237026,A,S,374400,294
688001.SH,688001,20220812,93012430,0,237270,A,S,374400,233
688001.SH,688001,20220812,93012820,0,238701,A,S,373800,221
688001.SH,688001,20220812,93012860,0,208668,D,S,373900,208
688001.SH,688001,20220812,93012940,0,239049,A,S,374400,250
688001.SH,688001,20220812,93013080,0,239476,A,S,374400,287
688001.SH,688001,20220812,93013100,0,239517,A,S,374400,229
688001.SH,688001,20220812,93013120,0,239589,A,S,374400,230
688001.SH,688001,20220812,93013140,0,239631,A,S,374400,308
688001.SH,688001,20220812,93013170,0,239727,A,S,374400,235
688001.SH,688001,20220812,93013250,0,239974,A,B,372000,1012
688001.SH,688001,20220812,93013270,0,230365,D,S,374300,200
688001.SH,688001,20220812,93013600,0,164665,D,S,374300,24
688001.SH,688001,20220812,93013600,0,211034,D,S,374400,317
688001.SH,688001,20220812,93013600,0,210336,D,S,374400,356
688001.SH,688001,20220812,93013600,0,208701,D,S,374400,266
688001.SH,688001,20220812,93013620,0,209061,D,S,374400,310
688001.SH,688001,20220812,93013660,0,187086,D,S,374300,200
688001.SH,688001,20220812,93013730,0,187085,D,S,374300,200
688001.SH,688001,20220812,93013770,0,205391,D,S,374400,339
688001.SH,688001,20220812,93013770,0,206109,D,S,374400,302
688001.SH,688001,20220812,93013790,0,202526,D,S,374400,337
688001.SH,688001,20220812,93013820,0,206186,D,S,374400,210
688001.SH,688001,20220812,93013820,0,180479,D,S,374300,200
688001.SH,688001,20220812,93013850,0,200844,D,S,374400,371
688001.SH,688001,20220812,93013890,0,184756,D,S,374300,492
688001.SH,688001,20220812,93013890,0,189431,D,S,374300,389
688001.SH,688001,20220812,93013890,0,184751,D,S,374300,396
